"","Son","Father","Country","Freq","Total"
"1","UpNM","UpNM","US",1275,2202
"2","LoNM","UpNM","US",364,2202
"3","UpM","UpNM","US",274,2202
"4","LoM","UpNM","US",272,2202
"5","Farm","UpNM","US",17,2202
"6","UpNM","LoNM","US",1055,2520
"7","LoNM","LoNM","US",597,2520
"8","UpM","LoNM","US",394,2520
"9","LoM","LoNM","US",443,2520
"10","Farm","LoNM","US",31,2520
"11","UpNM","UpM","US",1043,3673
"12","LoNM","UpM","US",587,3673
"13","UpM","UpM","US",1045,3673
"14","LoM","UpM","US",951,3673
"15","Farm","UpM","US",47,3673
"16","UpNM","LoM","US",1159,5371
"17","LoNM","LoM","US",791,5371
"18","UpM","LoM","US",1323,5371
"19","LoM","LoM","US",2046,5371
"20","Farm","LoM","US",52,5371
"21","UpNM","Farm","US",666,4471
"22","LoNM","Farm","US",496,4471
"23","UpM","Farm","US",1031,4471
"24","LoM","Farm","US",1632,4471
"25","Farm","Farm","US",646,4471
"26","UpNM","UpNM","UK",474,825
"27","LoNM","UpNM","UK",129,825
"28","UpM","UpNM","UK",87,825
"29","LoM","UpNM","UK",124,825
"30","Farm","UpNM","UK",11,825
"31","UpNM","LoNM","UK",300,917
"32","LoNM","LoNM","UK",218,917
"33","UpM","LoNM","UK",171,917
"34","LoM","LoNM","UK",220,917
"35","Farm","LoNM","UK",8,917
"36","UpNM","UpM","UK",438,2080
"37","LoNM","UpM","UK",254,2080
"38","UpM","UpM","UK",669,2080
"39","LoM","UpM","UK",703,2080
"40","Farm","UpM","UK",16,2080
"41","UpNM","LoM","UK",601,3747
"42","LoNM","LoM","UK",388,3747
"43","UpM","LoM","UK",932,3747
"44","LoM","LoM","UK",1789,3747
"45","Farm","LoM","UK",37,3747
"46","UpNM","Farm","UK",76,743
"47","LoNM","Farm","UK",56,743
"48","UpM","Farm","UK",125,743
"49","LoM","Farm","UK",295,743
"50","Farm","Farm","UK",191,743
"51","UpNM","UpNM","Japan",127,294
"52","LoNM","UpNM","Japan",101,294
"53","UpM","UpNM","Japan",24,294
"54","LoM","UpNM","Japan",30,294
"55","Farm","UpNM","Japan",12,294
"56","UpNM","LoNM","Japan",86,431
"57","LoNM","LoNM","Japan",207,431
"58","UpM","LoNM","Japan",64,431
"59","LoM","LoNM","Japan",61,431
"60","Farm","LoNM","Japan",13,431
"61","UpNM","UpM","Japan",43,311
"62","LoNM","UpM","Japan",73,311
"63","UpM","UpM","Japan",122,311
"64","LoM","UpM","Japan",60,311
"65","Farm","UpM","Japan",13,311
"66","UpNM","LoM","Japan",35,225
"67","LoNM","LoM","Japan",51,225
"68","UpM","LoM","Japan",62,225
"69","LoM","LoM","Japan",66,225
"70","Farm","LoM","Japan",11,225
"71","UpNM","Farm","Japan",109,1077
"72","LoNM","Farm","Japan",206,1077
"73","UpM","Farm","Japan",184,1077
"74","LoM","Farm","Japan",253,1077
"75","Farm","Farm","Japan",325,1077
